uid,sid,rating,timestamp
0,0,3,881250949
1,1,1,878887116
2,2,2,880606923
3,3,1,886397596
4,4,4,884182806
5,5,5,891628467
6,6,3,886324817
7,7,3,883603013
8,8,2,879372434
9,9,5,879781125
10,10,3,891035994
11,11,3,879485318
12,12,5,879270459
13,13,2,879539794
14,14,4,874834944
15,15,2,892079237
16,16,4,886176814
17,17,4,892738452
18,18,4,877881320
14,19,2,874833878
19,20,4,887736532
20,21,2,879196566
21,22,5,892430094
22,23,2,883748450
23,24,4,875747401
24,25,5,876861185
25,26,3,877052329
26,27,4,882075827
27,28,4,879539727
28,13,4,886890835
29,29,5,891295330
30,30,1,874791932
31,31,4,891350932
32,32,4,877888877
33,33,2,884114233
30,34,3,874791805
34,35,5,875333916
35,36,5,884921594
36,37,5,879741196
37,38,5,879641194
38,39,5,886519097
39,40,4,886271884
40,41,2,876535131
41,42,2,880037164
42,43,5,880474293
43,44,4,881103977
44,45,3,881171009
45,46,1,879667584
46,47,3,882141053
17,48,1,892738341
47,49,5,883326620
48,50,5,883698581
49,13,4,891550094
50,51,3,879987440
35,52,3,884923047
51,53,2,887249482
52,54,4,882823954
53,55,3,886475558
54,56,3,888906576
27,57,5,879539643
27,58,5,879540748
14,18,5,874835091
55,59,4,878183381
56,60,5,878971773
57,61,3,881108684
58,62,4,891903862
20,63,4,888954412
59,64,4,877635573
60,65,4,879876194
61,66,5,875296291
16,67,5,874781198
8,68,4,879373848
62,69,4,881961214
63,70,5,891383835
9,71,4,877531942
54,72,3,888905170
3,73,5,886397722
64,74,4,878090499
65,75,5,885848672
24,76,5,876860807
66,19,4,875320714
67,68,3,884207492
57,77,5,881107178
68,78,5,884288058
69,79,4,886987260
70,18,4,884304936
63,80,4,891384754
65,3,4,885844430
8,81,3,879373460
4,82,4,884182806
71,83,5,878347874
72,84,5,886122352
13,85,2,879524643
41,83,5,880037702
55,86,5,883815120
64,87,3,878089182
73,88,3,878769629
74,89,4,879791710
54,90,3,888904884
75,91,3,880245029
9,92,5,877533771
2,93,4,880605185
31,94,4,891352010
60,13,4,879876734
13,95,2,879551380
73,96,2,884714402
46,97,2,882139746
46,98,4,884538403
2,99,2,880605157
6,49,5,886323090
48,100,3,883698454
76,101,3,883452363
18,62,3,877878184
13,102,4,879525876
24,88,4,876860807
38,103,3,885678247
32,17,4,877886846
77,49,3,879456350
78,104,5,878870987
79,105,3,891387947
63,27,5,891383204
57,106,3,881108425
80,107,2,879371261
81,108,4,876973939
82,109,4,875537965
83,110,3,875636053
6,108,2,886324028
71,111,4,883612356
84,102,5,887401701
53,112,4,886472768
4,113,3,884183336
85,114,4,883601324
86,115,3,880130193
87,116,2,875542174
38,117,4,885680138
31,118,4,891353086
55,119,4,878183481
16,73,4,876923913
78,120,5,878955442
30,121,3,874786392
21,73,4,892428688
88,122,2,891385985
89,123,4,875216545
90,124,3,886443455
91,125,4,878542420
41,126,4,880036718
92,119,3,892910207
46,127,4,882140926
93,101,2,879455957
90,128,3,875654637
94,129,2,884386343
95,130,5,888549622
39,131,2,886272175
96,132,3,888104153
97,133,4,878962392
98,134,4,874724710
6,90,4,886323648
99,135,3,882922806
100,136,5,891170769
101,137,2,892838559
102,138,5,884238860
70,139,4,884304936
103,25,4,887665548
13,140,3,879521396
69,141,1,886987605
18,142,4,877877775
104,143,5,879524921
105,144,4,891446165
7,142,5,883599249
11,145,5,879467542
106,146,1,877727122
26,147,4,882078621
30,148,3,874793035
6,149,2,886323068
107,107,2,891438397
60,150,4,879875940
108,151,4,877819599
109,152,5,884128458
110,73,1,891632142
52,153,4,882826555
11,154,2,879484804
94,155,3,876018608
90,120,4,875653271
26,156,4,882078040
111,157,5,882157581
23,0,3,875747190
62,36,3,881961671
64,158,4,878089716
112,27,3,890881335
18,159,3,889502324
11,93,3,879485532
113,160,5,879966498
85,161,4,883601089
114,136,5,879394264
115,162,3,891542540
116,129,2,881368243
117,163,4,891374868
87,164,1,875744501
26,165,4,882076587
97,87,2,878961624
118,166,4,875240090
21,167,5,892430369
72,168,4,886122952
77,169,4,879456199
119,170,3,888205855
9,43,4,889651549
120,171,5,875936424
43,172,5,881104093
89,9,3,876250718
121,27,4,875155140
122,173,5,893265380
123,174,1,889452455
124,69,5,877488546
125,49,3,879873020
16,175,5,874775311
126,109,4,880134407
55,19,4,877563802
61,176,3,875308843
26,117,5,882076403
97,177,2,878963441
33,178,1,884140115
91,179,3,888732928
127,57,5,875270570
128,180,5,884197193
106,181,5,877720297
129,182,5,884733766
130,183,2,879436785
2,184,3,880606667
127,51,2,875270655
131,181,5,879465631
109,50,5,876041644
132,185,3,877136138
97,186,1,878961781
133,167,3,889911285
91,187,4,875072547
133,188,5,889906967
134,171,3,880937813
135,189,4,891725009
136,107,2,874784266
26,190,3,882077222
26,191,3,882075672
137,192,1,892440172
73,193,3,878769848
124,194,3,877488316
19,195,4,887739521
11,196,5,879467959
138,197,3,890588547
139,198,2,891435680
140,199,5,882126156
53,200,4,887347350
141,201,1,888442575
56,202,4,878970785
46,165,5,881515011
142,203,3,885775745
9,57,2,875806800
63,204,4,891384424
86,132,4,880129731
90,205,3,875656201
143,206,3,888105691
144,207,4,891560253
109,77,5,884129409
145,208,3,892302309
65,209,4,885848448
65,210,3,885849325
146,211,5,888640356
121,212,3,876197678
55,78,3,878182109
60,10,3,879876917
147,213,4,880130397
6,214,4,886324486
148,215,2,888068912
89,216,3,874953895
144,217,4,891560842
149,218,5,874951695
150,77,5,891409839
46,163,2,888073635
